,X,Y,Diff,Target
118,0.6597746,0.69349724,0.4661463,0
119,0.69799495,0.74217963,0.4706775,0
120,0.7125682,0.76058555,0.3656535,0
121,0.7203879,0.7659219,0.40655643,0
122,0.72280437,0.77381057,0.5174685,0
123,0.7344842,0.78436804,0.48653066,0
124,0.70427215,0.7492451,0.46541905,0
125,0.7223692,0.77049917,0.6189307,1
126,0.7421185,0.79433995,0.75660515,1
127,0.69793177,0.7425871,0.54793733,0
128,0.7471795,0.79979706,0.3105776,0
129,0.7258185,0.7773002,0.56304014,0
130,0.76407343,0.8196187,0.5770026,1
131,0.69159627,0.73188424,0.30068904,0
132,0.7456181,0.7987705,0.34342253,0
133,0.6718894,0.70929486,0.54497343,0
134,0.76026326,0.8145996,0.3109187,0
135,0.7632344,0.8164126,0.39750475,0
136,0.72656435,0.775783,0.4505235,0
137,0.73596483,0.784193,0.41970074,0
138,0.70472723,0.7466469,0.3879879,0
139,0.7667498,0.8197756,0.33262706,0
140,0.71499693,0.7605312,0.3181574,0
141,0.77120525,0.8265012,0.42225486,0
142,0.77048236,0.8247962,0.40204588,0
143,0.6912532,0.7341202,0.69912493,1
144,0.73263055,0.7814599,0.23025157,0
145,0.7126627,0.7569611,0.45169023,0
146,0.73710746,0.78839624,0.49923816,0
147,0.699008,0.7392656,0.66188985,0
148,0.7364899,0.78697723,0.49328116,0
149,0.72392774,0.76991636,0.381679,0
150,0.75541717,0.8077143,0.2791083,0
151,0.7283932,0.7766132,0.17563748,0
152,0.7454287,0.79707,0.23010792,0
153,0.743817,0.79690534,0.3089485,0
154,0.7364491,0.78551567,0.5070118,0
155,0.76188153,0.8154286,0.35835752,0
156,0.72828174,0.7773192,0.57742727,0
157,0.75015664,0.8027634,0.40757844,0
158,0.70328754,0.74730545,0.40800878,0
159,0.7362917,0.7849831,0.30888608,0
160,0.7542006,0.80602884,0.26958692,0
161,0.75545394,0.80806863,0.3926789,0
162,0.67439055,0.71224076,0.47252536,0
163,0.7140118,0.7600814,0.42710358,0
164,0.7336652,0.786177,0.40605822,0
165,0.74260587,0.79430985,0.35888597,0
